rank,district,state,risk_score,dominant_hazard,dominant_hazard_score,explanation,recommendation,population_at_risk,children_under5_at_risk,adaptive_capacity,wash_sanitation_pct,wash_disruption_days
1,Araria,Bihar,10.0,flood,5.66,High flood hazard (5.7) compounded by poor sanitation (32%) and high population (4.0M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,4009040,521176,0.614,32.2,87.0
2,Sitamarhi,Bihar,9.71,flood,5.13,High flood hazard (5.1) compounded by poor sanitation (51%) and high population (5.6M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,5557567,722483,0.666,50.7,84.9
3,Purba Champaran,Bihar,9.45,flood,4.84,High flood hazard (4.8) compounded by poor sanitation (48%) and high population (7.3M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,7339816,954176,0.655,48.3,84.4
4,Sheohar,Bihar,9.43,flood,5.03,High flood hazard (5.0) compounded by poor sanitation (58%) and high population (1.2M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,1160057,150807,0.705,57.9,88.9
5,Supaul,Bihar,9.4,flood,5.19,High flood hazard (5.2) compounded by poor sanitation (51%) and high population (4.8M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,4758613,618620,0.679,50.7,83.6
6,Madhepura,Bihar,9.22,flood,4.68,High flood hazard (4.7) compounded by poor sanitation (35%) and high population (3.9M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,3895770,506449,0.638,34.6,80.7
7,Madhubani,Bihar,9.02,flood,4.71,High flood hazard (4.7) compounded by poor sanitation (38%) and high population (6.0M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,6018867,782456,0.657,38.2,86.9
8,Purnia,Bihar,8.93,flood,5.63,High flood hazard (5.6) compounded by poor sanitation (36%) and high population (6.3M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,6338322,752138,0.637,35.6,88.0
9,Leh(Ladakh),Ladakh,8.85,cold wave,7.85,High cold wave hazard (7.8) compounded by poor water access (0%) and poor sanitation (0%).,Night shelters; blanket distribution; hot meal programmes; protect water pipes from freezing.,395934,33491,0.0,0.0,0.0
10,DATA NOT AVAILABLE,Jammu & Kashmir,8.43,cold wave,7.68,High cold wave hazard (7.7) compounded by poor water access (0%) and poor sanitation (0%).,Night shelters; blanket distribution; hot meal programmes; protect water pipes from freezing.,4209639,399801,0.131,0.0,0.0
11,Kargil,Ladakh,8.42,cold wave,7.42,High cold wave hazard (7.4) compounded by poor sanitation (42%) and poor water access (90%).,Night shelters; blanket distribution; hot meal programmes; protect water pipes from freezing.,342100,32023,0.773,42.3,0.0
12,Chengalputtu,Tamil Nadu,8.41,flood,6.68,High flood hazard (6.7) compounded by poor water access (0%) and poor sanitation (0%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,8808855,616620,0.0,0.0,133.8
13,Katihar,Bihar,8.3,flood,5.47,High flood hazard (5.5) compounded by poor sanitation (45%) and high population (4.9M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,4934022,550564,0.666,44.6,87.6
14,Ahmadabad,Gujarat,8.29,flood,6.84,High flood hazard (6.8) compounded by high population (9.7M) and low adaptive capacity.,Prioritise flood early warning for dense settlements; child-safe evacuation points.,9659132,821027,0.0,86.4,58.6
15,Lahul & Spiti,Himachal Pradesh,8.12,cold wave,6.94,High cold wave hazard (6.9) compounded by poor sanitation (62%) and poor water access (89%).,Night shelters; blanket distribution; hot meal programmes; protect water pipes from freezing.,412170,28855,0.83,61.7,0.1
16,South Salmara-Mankachar,Assam,8.11,flood,6.12,High flood hazard (6.1) compounded by poor sanitation (59%) and low adaptive capacity.,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,932269,88566,0.734,59.0,77.3
